mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,pesticide,commodity_code,commodity_name
1.0,1 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,,31,,1999,(*),,Po,,To apply to commodity at point of retail sale or when offered for consumption,,Methyl Bromide,TN 0085,Tree nuts (group)
0.2,0.2 mg/Kg,1998,32,,2001,,,,,,,"2,4-D",TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,2008,41,,2009,,,,,,,Spinetoram,TN 0085,Tree nuts (group)
0.04,0.04 mg/Kg,2015,48,,2016,,,,,,,Cyantraniliprole,TN 0085,Tree nuts (group)
0.04,0.04 mg/Kg,2015,48,,2016,,,,,,,Fluxapyroxad,TN 0085,Tree nuts (group)
0.06,0.06 mg/Kg,11,44,,2012,,,,,,Recommended for withdrawal by JMPR (2021).,Acetamiprid,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,Pendimethalin,TN 0085,Tree nuts (group)
0.2,0.2 mg/Kg,6,39,,2007,,,,,,,Bifenazate,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,8,41,,2009,(*),,,,,,Cyhalothrin (includes lambda-cyhalothrin),TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Afidopyropen,TN 0085,Tree nuts (group)
0.5,0.5 mg/Kg,5,38,,2006,(*),,Po,,,,Pyrethrins,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,2019,52,,2021,(*),,,,,,Buprofezin,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,7,41,,2009,,,,,,,Imidacloprid,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,11,44,,2012,(*),,,,,,Tebuconazole,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,2017,50,,2018,(*),,,,,,Fenpyroximate,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Fenbuconazole,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,2019,52,,2021,(*),,,,,,Fluensulfone,TN 0085,Tree nuts (group)
0.5,0.5 mg/Kg,7,40,,2008,,,,,,,Clofentezine,TN 0085,Tree nuts (group)
0.1,0.1 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,TN 0085,Tree nuts (group)
0.04,0.04 mg/Kg,2017,50,,2018,,,,,(except almond and pistachio),,Cyprodinil,TN 0085,Tree nuts (group)
10.0,10 mg/Kg,,31,,1999,,,Po,,"To apply at point of entry into a country and, in case of cereal for milling, if product has been freely exposed to air for a period of at least 24 h after fumigation and before",,Methyl Bromide,TN 0085,Tree nuts (group)
0.03,0.03 mg/Kg,2018,51,,2019,,,,,,,Sulfoxaflor,TN 0085,Tree nuts (group)
0.1,0.1 mg/Kg,12,45,,2013,,,,,,,Glufosinate-Ammonium,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,4,38,37,2006,,,,,,,Paraquat,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,9,42,,2010,(*),,,,,,Hexythiazox,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Mesotrione,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,11,44,,2012,(*),"a,Z",,,,,Cypermethrins (including alpha- and zeta- cypermethrin),TN 0085,Tree nuts (group)
0.5,0.5 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,2010,43,,2011,,,,,,,Bifenthrin,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,2011,44,,2012,(*),,,,except pistachio nuts,,Pyraclostrobin,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,9,42,,2010,(*),,,,Except pistachio.,,Boscalid,TN 0085,Tree nuts (group)
0.005,0.005 mg/Kg,2015,48,,2016,(*),,,,,,Abamectin,TN 0085,Tree nuts (group)
0.001,0.001 mg/Kg,2014,,,2015,(*),,,,,,Emamectin benzoate,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,6,39,,2007,,,,,,,Thiacloprid,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,10,43,,2011,(*),,,,,,Etoxazole,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,TN 0085,Tree nuts (group)
0.03,0.03 mg/Kg,10,43,,2011,,,,,,,Difenoconazole,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,4,38,37,2006,(*),,,,,,Trifloxystrobin,TN 0085,Tree nuts (group)
0.01,0.01 mg/Kg,11,44,,2012,,,,,,,Saflufenacil,TN 0085,Tree nuts (group)
0.2,0.2 mg/Kg,2,36,35,2004,,,,,,,Phosmet,TN 0085,Tree nuts (group)
400.0,400 mg/Kg,2017,50,,2018,,,,,,,Fosetyl Al,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,2019,52,,2021,,,,,,,Fenazaquin,TN 0085,Tree nuts (group)
0.15,0.15 mg/Kg,2014,47,,2015,,,,,,,Fenpropathrin,TN 0085,Tree nuts (group)
0.05,0.05 mg/Kg,2012,45,,2013,,,,,,,Penthiopyrad,TN 0085,Tree nuts (group)
0.1,0.1 mg/Kg,10,43,,2011,,,,,,,Flubendiamide,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,10,43,,2011,,,,,,,Chlorantraniliprole,TN 0085,Tree nuts (group)
0.04,0.04 mg/Kg,2019,52,,2021,(*),,,,,,Metconazole,TN 0085,Tree nuts (group)
0.04,0.04 mg/Kg,2012,45,,2013,,,,,,,Fluopyram,TN 0085,Tree nuts (group)
3.0,3 mg/Kg,5,38,,2006,,,Po,,,,Sulfuryl fluoride,TN 0085,Tree nuts (group)
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,Diquat,TN 0295,Cashew nut
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Fluazifop-p-butyl,TN 0660,Almonds
0.05,0.05 mg/Kg,,,,1995,,,,,,,Diazinon,TN 0660,Almonds
0.05,0.05 mg/Kg,2013,46,,2014,(*),,,,,,Dithianon,TN 0660,Almonds
0.1,0.1 mg/Kg,,,,,,,,,,,Permethrin,TN 0660,Almonds
0.03,0.03 mg/Kg,2019,52,,2021,,,,,,,Cyclaniliprole,TN 0660,Almonds
0.1,0.1 mg/Kg,1995,31,28-30,1999,(*),"N,Z",,,,,Dithiocarbamates,TN 0660,Almonds
0.2,0.2 mg/Kg,94,28,,1997,,,,,,,Iprodione,TN 0660,Almonds
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Isofetamid,TN 0660,Almonds
0.3,0.3 mg/Kg,0,34,,2003,,,,,,,Captan,TN 0660,Almonds
0.02,0.02 mg/Kg,5,38,,2006,(*),,,,,,Fenhexamid,TN 0660,Almonds
0.2,0.2 mg/Kg,7,40,,2008,,,,,,,Pyrimethanil,TN 0660,Almonds
0.5,0.5 mg/Kg,,,,1995,,,,,,,Fenbutatin Oxide,TN 0660,Almonds
0.02,0.02 mg/Kg,2003,37,36,2005,(*),,,,,,Cyprodinil,TN 0660,Almonds
0.01,0.01 mg/Kg,"2015, 2016","48,49",,2017,(*),,,,,,Flonicamid,TN 0660,Almonds
0.1,0.1 mg/Kg,2,36,35,2004,(*),,,,,,Propargite,TN 0660,Almonds
0.05,0.05 mg/Kg,1,36,"34,35",2004,,,,,,,Tebufenozide,TN 0660,Almonds
0.05,0.05 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,TN 0660,Almonds
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Fenpyrazamine,TN 0660,Almonds
0.02,0.02 mg/Kg,,,,,,,,E,,,Chlordane,TN 0660,Almonds
0.02,0.02 mg/Kg,6,39,,2007,(*),,,,,,Endosulfan,TN 0666,Hazelnuts
0.02,0.02 mg/Kg,2,36,35,2004,(*),,,,,,Deltamethrin,TN 0666,Hazelnuts
0.02,0.02 mg/Kg,,,,,,,,E,,,Chlordane,TN 0666,Hazelnuts
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Methiocarb,TN 0666,Hazelnuts
0.05,0.05 mg/Kg,0,35,34,2003,(*),,,,,,Chlorpyrifos,TN 0672,Pecan
0.02,0.02 mg/Kg,2007,40,,2008,(*),,,,,,Propiconazole,TN 0672,Pecan
0.1,0.1 mg/Kg,,,,,,,,,,,Disulfoton,TN 0672,Pecan
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Flonicamid,TN 0672,Pecan
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Fluazifop-p-butyl,TN 0672,Pecan
0.1,0.1 mg/Kg,2004,37,,2005,(*),Z,,,,,Dithiocarbamates,TN 0672,Pecan
0.5,0.5 mg/Kg,,,,1995,,,,,,,Fenbutatin Oxide,TN 0672,Pecan
0.02,0.02 mg/Kg,,,,,,,,E,,,Chlordane,TN 0672,Pecan
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,,,,Clothianidin,TN 0672,Pecan
0.01,0.01 mg/Kg,10,43,,2011,(*),,,,,,Thiamethoxam,TN 0672,Pecan
0.05,0.05 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,TN 0672,Pecan
0.01,0.01 mg/Kg,1,36,"34,35",2004,(*),,,,,,Tebufenozide,TN 0672,Pecan
1.0,1 mg/Kg,94,28,,1997,,,,,,,Aldicarb,TN 0672,Pecan
0.01,0.01 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,TN 0672,Pecan
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Tolfenpyrad,TN 0672,Pecan
1.0,1 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,TN 0675,Pistachio nuts
0.3,0.3 mg/Kg,2015,48,,2016,,,,,,,Chlorothalonil,TN 0675,Pistachio nuts
0.2,0.2 mg/Kg,2004,38,37,2006,,,,,,,Fludioxonil,TN 0675,Pistachio nuts
1.0,1 mg/Kg,2004,38,37,2006,,,,,,,Pyraclostrobin,TN 0675,Pistachio nuts
1.0,1 mg/Kg,9,42,,2010,,,,,,,Boscalid,TN 0675,Pistachio nuts
0.05,0.05 mg/Kg,,,,,(*),,,,,,Permethrin,TN 0675,Pistachio nuts
0.3,0.3 mg/Kg,6,39,,2007,,,,,,,Propargite,TN 0678,Walnuts
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Fluazifop-p-butyl,TN 0678,Walnuts
0.05,0.05 mg/Kg,96,30,,1999,,,,,,,Tebufenozide,TN 0678,Walnuts
0.5,0.5 mg/Kg,,28,,1997,,,,,,,Fenbutatin Oxide,TN 0678,Walnuts
0.02,0.02 mg/Kg,,,,,,,,E,,,Chlordane,TN 0678,Walnuts
0.02,0.02 mg/Kg,2,36,35,2004,(*),,,,,,Deltamethrin,TN 0678,Walnuts
0.01,0.01 mg/Kg,,,,1995,(*),,,,,,Diazinon,TN 0678,Walnuts
0.05,0.05 mg/Kg,0,35,34,2003,(*),,,,,,Chlorpyrifos,TN 0678,Walnuts
2.0,2 mg/Kg,1,35,,2004,,,,,,,Spinosad,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,12,45,,2013,,,,,,,Dinotefuran,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
5.0,5 mg/Kg,9,42,,2010,,,,,,,Boscalid,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.4,0.4 mg/Kg,2010,43,,2011,,,,,,,Bifenthrin,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
1.0,1 mg/Kg,8,41,,2009,,,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
1.5,1.5 mg/Kg,2015,48,,2016,,,,,,,Cyazofamid,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.7,0.7 mg/Kg,2016,49,,2017,,,,,,,Acibenzolar-S-methyl,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,2015,48,,2016,,,,,,,Fluxapyroxad,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.7,0.7 mg/Kg,10,43,,2011,,,,,,,Novaluron,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,2013,46,,2014,,,,,,,Cyantraniliprole,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.2,0.2 mg/Kg,10,43,,2011,,T,,,,,Clothianidin,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.1,0.1 mg/Kg,2019,52,,2021,,,,,(except Brassica leafy vegetables),Recommended for withdrawal by JMPR (2021),Pydiflumetofen,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
5.0,5 mg/Kg,10,43,,2011,,,,,,,Thiamethoxam,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
9.0,9 mg/Kg,12,45,,2013,,,,,,,Ametoctradin,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
9.0,9 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.5,0.5 mg/Kg,6,39,,2007,,,,,,,Pirimicarb,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
1.5,1.5 mg/Kg,2016,49,,2017,,,,,,,Fluensulfone,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.3,0.3 mg/Kg,2012,45,,2013,,,,,,,Spinetoram,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.05,0.05 mg/Kg,2014,47,,2015,,FL,,,,,Dichlobenil,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,2013,46,,2014,,,,,,,Difenoconazole,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
1.5,1.5 mg/Kg,2015,48,,2016,,,,,,,Flutriafol,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
5.0,5 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.05,0.05 mg/Kg,2013,46,,2014,(*),,,,,,Flutolanil,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,"2015, 2016","48,49",,2017,,,,,,,Flonicamid,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
2.0,2 mg/Kg,10,43,,2011,,,,,,,Chlorantraniliprole,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
3.0,3 mg/Kg,2016,49,,2017,,,,,,,Spiromesifen,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
4.0,4 mg/Kg,10,43,,2011,,,,,,,Flubendiamide,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.05,0.05 mg/Kg,2014,47,,2015,,,,,,,Myclobutanil,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.2,0.2 mg/Kg,2006,39,,2007,,,,,,,Pyraclostrobin,VB 0041,"Cabbages, head"
1.0,1 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,VB 0041,"Cabbages, head"
0.9,0.9 mg/Kg,2014,47,,2015,,,,,,,Fenamidone,VB 0041,"Cabbages, head"
6.0,6 mg/Kg,2014,47,,2015,,,,,,,Dimethomorph,VB 0041,"Cabbages, head"
3.0,3 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,VB 0041,"Cabbages, head"
0.3,0.3 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),VB 0041,"Cabbages, head"
0.5,0.5 mg/Kg,99,37,33-36,2005,,,,,,,Diazinon,VB 0041,"Cabbages, head"
0.7,0.7 mg/Kg,2013,46,,2014,,,,,,,Cyprodinil,VB 0041,"Cabbages, head"
0.08,0.08 mg/Kg,"07,12",45,43,2013,,,,,,,Cyfluthrin/beta-cyfluthrin,VB 0041,"Cabbages, head"
0.5,0.5 mg/Kg,,,,1993,,,,,,Recommended withdrawal by JMPR (2021),Metalaxyl,VB 0041,"Cabbages, head"
3.0,3 mg/Kg,"05,07",40,"38,39",2008,,,,,,,Indoxacarb,VB 0041,"Cabbages, head"
0.05,0.05 mg/Kg,99,36,33-35,2004,,,,,,,Fenamiphos,VB 0041,"Cabbages, head"
0.1,0.1 mg/Kg,98,34,32,2003,,,,,,,Quintozene,VB 0041,"Cabbages, head"
3.0,3 mg/Kg,2008,41,,2009,,,,,,,Mandipropamid,VB 0041,"Cabbages, head"
5.0,5 mg/Kg,1995,31,28-30,1999,,"c,N",,,,,Dithiocarbamates,VB 0041,"Cabbages, head"
1.5,1.5 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,VB 0041,"Cabbages, head"
4.0,4 mg/Kg,2012,46,45,2014,,,,,,,Penthiopyrad,VB 0041,"Cabbages, head"
0.1,0.1 mg/Kg,5,38,,2006,,,,,,,Methiocarb,VB 0041,"Cabbages, head"
0.4,0.4 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,VB 0041,"Cabbages, head"
5.0,5 mg/Kg,,,,,,,,,,,Permethrin,VB 0041,"Cabbages, head"
0.02,0.02 mg/Kg,1,35,34,2003,,,,,,Recommended for withdrawal by JMPR (2021),Fipronil,VB 0041,"Cabbages, head"
7.0,7 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,VB 0041,"Cabbages, head"
1.5,1.5 mg/Kg,2017,50,,2018,,,,,,,Trifloxystrobin,VB 0041,"Cabbages, head"
1.0,1 mg/Kg,"2014, 2018",51,47,2019,,,,,,,Propamocarb,VB 0041,"Cabbages, head"
0.5,0.5 mg/Kg,2019,52,,2021,,,,,,,Afidopyropen,VB 0041,"Cabbages, head"
0.15,0.15 mg/Kg,2014,47,,2015,,,,,,,Fluopyram,VB 0041,"Cabbages, head"
0.7,0.7 mg/Kg,2018,51,,2019,,,,,,,Fludioxonil,VB 0041,"Cabbages, head"
0.5,0.5 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,VB 0041,"Cabbages, head"
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,VB 0041,"Cabbages, head"
7.0,7 mg/Kg,9,43,,2011,,,,,,,Fluopicolide,VB 0041,"Cabbages, head"
0.7,0.7 mg/Kg,11,44,,2012,,,,,,,Acetamiprid,VB 0041,"Cabbages, head"
0.7,0.7 mg/Kg,2016,49,,2017,,,,,,,Oxathiapiprolin,VB 0041,"Cabbages, head"
1.0,1 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,VB 0041,"Cabbages, head"
2.0,2 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,VB 0041,"Cabbages, head"
2.0,2 mg/Kg,96,30,,1999,,,,,,,Acephate,VB 0041,"Cabbages, head"
5.0,5 mg/Kg,1,36,"34,35",2004,,,,,,,Tebufenozide,VB 0041,"Cabbages, head"
0.05,0.05 mg/Kg,0,36,"34,35",2004,,,,,,,Parathion-Methyl,VB 0041,"Cabbages, head"
0.7,0.7 mg/Kg,2019,52,,2021,,,,,,,Cyclaniliprole,VB 0041,"Cabbages, head"
0.02,0.02 mg/Kg,1,35,34,2003,,,,,,Recommended withdrawal by JMPR (2021),Fipronil,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
1.0,1 mg/Kg,8,41,,2009,,,,,,,Spirotetramat,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
4.0,4 mg/Kg,2014,47,,2015,,,,,,,Fenamidone,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
2.0,2 mg/Kg,9,42,,2010,,,,,,,Fluopicolide,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.4,0.4 mg/Kg,11,44,,2012,,,,,,,Acetamiprid,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.5,0.5 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
2.0,2 mg/Kg,2013,46,,2014,,,,,,,Cyprodinil,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
5.0,5 mg/Kg,2012,45,,2013,,,,,,,Penthiopyrad,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.5,0.5 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.1,0.1 mg/Kg,2,36,35,2004,,,,,,,Deltamethrin,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.1,0.1 mg/Kg,2006,39,,2007,,,,,,,Pyraclostrobin,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
5.0,5 mg/Kg,10,43,,2011,,,,,,,Chlorothalonil,VB 0042,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)"
0.4,0.4 mg/Kg,2019,52,,2021,,,,,,,Afidopyropen,VB 0042,Flowerhead brassicas (subgroup)
0.2,0.2 mg/Kg,2019,52,,2021,(*),,,,(based on Fosetyl use),,Fosetyl Al,VB 0042,Flowerhead brassicas (subgroup)
0.8,0.8 mg/Kg,2019,52,,2021,,,,,,,Cyclaniliprole,VB 0042,Flowerhead brassicas (subgroup)
0.05,0.05 mg/Kg,98,34,32,2003,,,,,,,Quintozene,VB 0400,Broccoli
4.0,4 mg/Kg,2014,47,,2015,,,,,,,Dimethomorph,VB 0400,Broccoli
25.0,25 mg/Kg,94,28,,1997,,,,,,,Iprodione,VB 0400,Broccoli
3.0,3 mg/Kg,2014,47,,2015,,,,,,,Propamocarb,VB 0400,Broccoli
0.5,0.5 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,VB 0400,Broccoli
2.0,2 mg/Kg,2008,41,,2009,,,,,,,Mandipropamid,VB 0400,Broccoli
0.5,0.5 mg/Kg,1,36,"34,35",2004,,,,,,,Tebufenozide,VB 0400,Broccoli
1.5,1.5 mg/Kg,2016,49,,2017,,,,,,,Oxathiapiprolin,VB 0400,Broccoli
0.5,0.5 mg/Kg,,28,,1997,,,,,,,Diazinon,VB 0400,Broccoli
0.2,0.2 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,VB 0400,Broccoli
2.0,2 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,VB 0400,Broccoli
3.0,3 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,VB 0400,Broccoli
3.0,3 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,VB 0400,Broccoli
2.0,2 mg/Kg,,,,,,,,,,,Permethrin,VB 0400,Broccoli
0.5,0.5 mg/Kg,,,,1993,,,,,,Withdrawal recommended by JMPR (2021),Metalaxyl,VB 0400,Broccoli
0.7,0.7 mg/Kg,2004,38,37,2006,,,,,,,Fludioxonil,VB 0400,Broccoli
0.3,0.3 mg/Kg,2014,47,,2015,,,,,,,Fluopyram,VB 0400,Broccoli
1.0,1 mg/Kg,7,40,,2008,,,,,,,Cyromazine,VB 0400,Broccoli
0.2,0.2 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,VB 0400,Broccoli
3.0,3 mg/Kg,12,45,,2013,,,,,,,Fenvalerate,VB 0401,"Broccoli, Chinese"
0.2,0.2 mg/Kg,9,42,,2010,,,,,,,Fluopicolide,VB 0402,Brussels sprouts
0.3,0.3 mg/Kg,2006,39,,2007,,,,,,,Pyraclostrobin,VB 0402,Brussels sprouts
0.3,0.3 mg/Kg,2014,47,,2015,,,,,,,Fluopyram,VB 0402,Brussels sprouts
6.0,6 mg/Kg,10,43,,2011,,,,,,,Chlorothalonil,VB 0402,Brussels sprouts
0.5,0.5 mg/Kg,,,,1991,,B,,,,,Carbendazim,VB 0402,Brussels sprouts
0.1,0.1 mg/Kg,4,38,37,2006,,,,,,,Trifloxystrobin,VB 0402,Brussels sprouts
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Oxamyl,VB 0402,Brussels sprouts
2.0,2 mg/Kg,2014,47,,2015,,,,,,,Propamocarb,VB 0402,Brussels sprouts
0.1,0.1 mg/Kg,"93,94",28,,1997,,,,,,,Aldicarb,VB 0402,Brussels sprouts
0.3,0.3 mg/Kg,11,44,,2012,,,,,,,Tebuconazole,VB 0402,Brussels sprouts
1.0,1 mg/Kg,,,,,,,,,,,Permethrin,VB 0402,Brussels sprouts
0.2,0.2 mg/Kg,3,37,36,2005,,,,,,Recommended for withdrawal,Dimethoate,VB 0402,Brussels sprouts
0.2,0.2 mg/Kg,,,,1991,,,,,,Recommended withdrawal by JMPR (2021),Metalaxyl,VB 0402,Brussels sprouts
0.05,0.05 mg/Kg,99,36,33-35,2004,,,,,,,Fenamiphos,VB 0402,Brussels sprouts
0.8,0.8 mg/Kg,9,42,,2010,,,,,,,Metaflumizone,VB 0402,Brussels sprouts
0.5,0.5 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,VB 0402,Brussels sprouts
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Methiocarb,VB 0402,Brussels sprouts
0.05,0.05 mg/Kg,98,34,32,2003,(*),,,,,Recommended for withdrawal,Dimethoate,VB 0403,"Cabbage, Savoy"
5.0,5 mg/Kg,,,,,,,,,,,Permethrin,VB 0403,"Cabbage, Savoy"
2.0,2 mg/Kg,7,40,,2008,,,,,,,Cyfluthrin/beta-cyfluthrin,VB 0404,Cauliflower
0.09,0.09 mg/Kg,2014,47,,2015,,,,,,,Fluopyram,VB 0404,Cauliflower
0.01,0.01 mg/Kg,4,38,37,2006,(*),,,,,,Oxydemeton-Methyl,VB 0404,Cauliflower
0.05,0.05 mg/Kg,11,44,,2012,(*),,,,,,Tebuconazole,VB 0404,Cauliflower
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Teflubenzuron,VB 0404,Cauliflower
0.05,0.05 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,VB 0404,Cauliflower
0.5,0.5 mg/Kg,,,,,,,,,,,Permethrin,VB 0404,Cauliflower
0.2,0.2 mg/Kg,5,38,,2006,,,,,,,Indoxacarb,VB 0404,Cauliflower
0.1,0.1 mg/Kg,5,38,,2006,,,,,,,Methiocarb,VB 0404,Cauliflower
2.0,2 mg/Kg,2014,47,,2015,,,,,,,Propamocarb,VB 0404,Cauliflower
0.2,0.2 mg/Kg,3,37,36,2005,,,,,,Recommended for withdrawal,Dimethoate,VB 0404,Cauliflower
0.5,0.5 mg/Kg,,,,1993,,,,,,Withdrawal recommended by JMPR (2021),Metalaxyl,VB 0404,Cauliflower
0.04,0.04 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,VB 0404,Cauliflower
0.3,0.3 mg/Kg,2016,49,,2017,,,,,,,Oxathiapiprolin,VB 0404,Cauliflower
6.0,6 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,VB 0404,Cauliflower
0.5,0.5 mg/Kg,2,36,35,2004,,,,,,,Imidacloprid,VB 0404,Cauliflower
0.02,0.02 mg/Kg,7,40,,2008,,,,,,,Dimethomorph,VB 0405,Kohlrabi
0.05,0.05 mg/Kg,98,38,32-37,2006,,,,,,,Oxydemeton-Methyl,VB 0405,Kohlrabi
